timestamp,elapsed_s,detection_hz,total_detections_so_far,total_vel_cmds_so_far
1773717186.973,2.07,10.8,0,37
1773717188.973,4.07,22.0,0,93
1773717190.973,6.07,27.2,16,147
1773717192.973,8.07,28.0,16,204
1773717194.977,10.08,27.4,33,258
1773717196.974,12.07,27.4,34,312
1773717198.974,14.07,25.8,35,359
1773717200.974,16.07,25.0,39,410
1773717202.975,18.07,24.8,48,459
1773717204.974,20.07,24.4,48,508
1773717206.980,22.08,24.2,66,556
1773717208.974,24.07,25.6,66,609
1773717210.974,26.07,25.4,73,660
1773717212.974,28.07,26.0,91,714
1773717214.991,30.09,26.8,101,768
1773717216.984,32.08,26.8,105,824
1773717218.974,34.07,27.4,105,878
1773717220.980,36.08,27.8,113,935
1773717222.973,38.07,28.0,113,990
1773717224.973,40.07,27.2,113,1043
1773717226.975,42.07,27.6,113,1099
1773717228.973,44.07,25.8,113,1147
1773717230.974,46.07,25.6,119,1199
1773717232.973,48.07,24.8,119,1247
1773717234.974,50.07,25.2,126,1299
1773717236.975,52.07,24.8,126,1348
1773717238.973,54.07,26.2,126,1402
1773717240.973,56.07,24.6,126,1448
1773717242.974,58.07,24.6,126,1498
1773717244.973,60.07,25.4,126,1553
1773717246.982,62.08,27.0,126,1609
1773717248.973,64.07,27.2,126,1662
1773717250.976,66.08,27.6,126,1717
1773717252.973,68.07,27.2,126,1772
1773717254.973,70.07,27.6,126,1828
1773717256.973,72.07,28.0,126,1884
1773717258.974,74.07,27.2,126,1938
1773717260.974,76.07,25.6,126,1983
1773717262.973,78.07,24.4,126,2034
1773717264.974,80.07,24.8,126,2084
1773717266.979,82.08,24.6,126,2132
1773717268.974,84.07,24.8,126,2182
1773717270.974,86.07,24.6,126,2233
1773717272.975,88.07,25.8,126,2285
1773717274.974,90.07,26.2,126,2338
1773717276.975,92.07,27.4,126,2395
1773717278.973,94.07,27.0,126,2447
1773717281.044,96.14,26.8,126,2502
1773717282.973,98.07,27.2,126,2557
1773717284.973,100.07,28.0,126,2614
1773717286.973,102.07,27.8,126,2669
1773717288.975,104.07,27.4,126,2723
1773717290.973,106.07,26.6,126,2774
1773717292.975,108.07,25.2,126,2822
1773717294.975,110.07,24.8,126,2872
1773717296.974,112.07,24.6,126,2923
1773717298.974,114.07,25.6,126,2973
1773717300.974,116.07,25.6,126,3026
1773717302.974,118.07,25.4,126,3075
1773717304.990,120.09,25.4,126,3128
